method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.3,0.0,5000,0,800,1630,2430,0.5119129194645211,0.38139999999999996,0.3814,,,,,48.41346807125956,0,797,0.43,0.0,0.5707517266273499,0.5707517266273499,0.9909223318099976,0.00731398033220624,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.160352040013983,1.4198239799930086
Marginal,mnist,0,0.3,0.0,5000,0,800,1670,2470,0.5199362169369124,0.2552,0.2552,,,,,50.07146655768156,0,797,0.28375,0.0,0.5694370865821838,0.5694370865821838,0.9974602460861206,0.006036546044733529,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16099997108682665,1.4195000144565868
PU-R,mnist,0,0.3,0.0,5000,0,800,1692,2492,0.5243461698410101,0.2992,0.2992,,,,,105.7202125871554,0,797,0.33,0.0,0.5611400008201599,0.5611400008201599,0.9961235523223877,0.00783088930575958,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.1659601837386261,1.417019908130687
GREATS,mnist,0,0.3,0.0,5000,0,800,1622,2422,,0.4021,0.4021,,,,,62.34864903148264,0,797,0.42625,0.0,0.5871487855911255,0.5871487855911255,0.9882805347442627,0.008146666465921605,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16252564982613452,1.4187371750869326
MaxLoss,mnist,0,0.3,0.1,4500,500,800,1449,2249,0.5270263839629479,0.4376,0.4376,,,,,47.212302420288324,0,797,0.44625,0.0,0.570591390132904,0.570591390132904,0.9900913238525391,0.007864240843112649,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16385170916461966,1.4180741454176902
Marginal,mnist,0,0.3,0.1,4500,500,800,1487,2287,0.535482986306306,0.25239999999999996,0.2524,,,,,49.63513840176165,0,797,0.31,0.0,0.5619447231292725,0.5619447231292725,0.9977421760559082,0.006163255825186696,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15989890057863723,1.4200505497106815
PU-R,mnist,0,0.3,0.1,4500,500,800,1406,2206,0.5174475908861496,0.24050000000000005,0.2405,,,,,101.7239063968882,0,797,0.3325,0.0,0.5644671320915222,0.5644671320915222,0.994612455368042,0.00807393940156314,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16596332608222497,1.4170183369588876
GREATS,mnist,0,0.3,0.1,4500,500,800,1416,2216,,0.4094,0.4094,,,,,59.73462328966707,0,797,0.44125,0.0,0.5733523964881897,0.5733523964881897,0.9906071424484253,0.008046676797584838,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16227957632103454,1.4188602118394829
MaxLoss,mnist,0,0.3,0.2,4000,1000,800,1211,2011,0.5315330852172337,0.4063,0.4063,,,,,46.2989095877856,0,797,0.44125,0.0,0.5783440470695496,0.5783440470695496,0.9896541833877563,0.00765862844613974,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.0,0.0,0.1636663438372375,1.4181668280813813
Marginal,mnist,0,0.3,0.2,4000,1000,800,1320,2120,0.5587825120892376,0.32520000000000004,0.3252,,,,,48.94287551473826,0,797,0.32875,0.0,0.5672086477279663,0.5672086477279663,0.9974712133407593,0.0061062779732151086,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15923401379237073,1.4203829931038148
