dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,GREATS,0.3,0.0,5,800.0,0.0,1667.6,20.299261070295145,2467.6,20.299261070295145,,,0.42088000000000003,0.009389217219768643,0.42088000000000003,0.009389217219768634,,,,,,,,,61.30369088258594,0.3675556361346823,0.0,0.0,,,797.0,0.0,0.442,0.005499999999999994,0.0,0.0,0.5836688637733459,0.0014421003992078321,0.5836688637733459,0.0014421003992078321,0.9906391263008117,0.0010466206650405353,0.007993121821904214,6.294019156216796e-05,0.9987484355444305,0.0,0.9982478097622026,0.00030656942963492537,0.9982478097622026,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16269196177288764,0.0005018699438857192,1.4186540191135562,0.0002509349719428482
mnist,GREATS,0.3,0.1,5,800.0,0.0,1420.2,20.611647192788837,2220.2,20.611647192788837,,,0.41819999999999996,0.013181388394247397,0.4182,0.013181388394247404,,,,,,,,,59.80181913636625,0.24200687950779404,0.0,0.0,,,797.0,0.0,0.44525,0.0017410485346480138,0.0,0.0,0.5749730467796326,0.0008223641665672209,0.5749730467796326,0.0008223641665672209,0.990181314945221,0.0011677015850483734,0.007916106821244143,0.00012252839772231293,0.9984981226533167,0.00025031289111387967,0.9982478097622026,0.0003065694296349253,0.9979974968710887,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16237771643040722,0.0007740067500066777,1.4188111417847964,0.0003870033750033226
mnist,GREATS,0.3,0.2,5,800.0,0.0,1162.4,20.860488968382306,1962.4,20.860488968382306,,,0.39668000000000003,0.006444408429018137,0.39668000000000003,0.006444408429018132,,,,,,,,,57.64470725338906,0.3024203718637204,0.0,0.0,,,797.0,0.0,0.442,0.005556527692723221,0.0,0.0,0.5812433958053589,0.001585798727770603,0.5812433958053589,0.001585798727770603,0.9921517491340637,0.0011071662270880501,0.0077976526802077005,0.00011966353712618418,0.9987484355444305,0.0,0.9984981226533165,0.00025031289111387967,0.9984981226533165,0.00025031289111387967,0.0,0.0,0.0,0.0,0.16104319323052924,0.0006199552652570334,1.4194784033847356,0.00030997763262848537
mnist,GREATS,0.3,0.3,5,800.0,0.0,958.6,12.456323695216017,1758.6,12.456323695216016,,,0.42203999999999997,0.009536802399127294,0.42203999999999997,0.00953680239912729,,,,,,,,,55.828588525392114,0.278762154311399,0.0,0.0,,,797.0,0.0,0.44575000000000004,0.004376785350002894,0.0,0.0,0.5797034621238708,0.0015027514473606113,0.5797034621238708,0.0015027514473606113,0.9912271738052368,0.0006860679892002631,0.00782875556741213,0.00010015121591752848,0.9987484355444305,0.0,0.9987484355444305,0.0,0.9987484355444305,0.0,0.0,0.0,0.0,0.0,0.1615854186267402,0.0005181756789837037,1.41920729068663,0.0002590878394918514
mnist,GREATS,0.3,0.4,5,800.0,0.0,701.0,11.054410884348382,1501.0,11.054410884348382,,,0.38674,0.011517708105348037,0.38674,0.011517708105348046,,,,,,,,,53.789318655617535,0.22233874287857483,0.0,0.0,,,797.0,0.0,0.44025,0.006317139384246635,0.0,0.0,0.5777214765548706,0.00142738715262908,0.5777214765548706,0.00142738715262908,0.9904912829399108,0.000571162749448852,0.007758782116535384,6.365375556720952e-05,0.9982478097622028,0.00030656942963492537,0.9987484355444305,0.0,0.9982478097622028,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16079302707756707,0.0005323923677497762,1.4196034864612164,0.00026619618387488695
mnist,GREATS,0.3,0.5,5,800.0,0.0,439.2,4.862098312457287,1239.2,4.862098312457287,,,0.36668,0.009803132152531664,0.36668,0.009803132152531655,,,,,,,,,52.08538059499115,0.1990996486813086,0.0,0.0,,,797.0,0.0,0.43174999999999997,0.002755675960631077,0.0,0.0,0.5778093338012695,0.0013405731879863611,0.5778093338012695,0.0013405731879863611,0.9912075638771057,0.0010086238629929871,0.0074759096101868205,0.00011574087068978279,0.9987484355444305,0.0,0.9984981226533167,0.0002503128911138797,0.9984981226533167,0.0002503128911138797,0.0,0.0,0.0,0.0,0.1599351157308952,0.0006307803636823536,1.4200324421345525,0.0003153901818411778
mnist,GREATS,0.3,0.6,5,800.0,0.0,216.4,14.235870187663275,1016.4,14.235870187663274,,,0.35632,0.005777144623427725,0.35631999999999997,0.005777144623427735,,,,,,,,,50.42701461520046,0.28953054233586023,0.0,0.0,,,797.0,0.0,0.42099999999999993,0.0063171393842466365,0.0,0.0,0.5800523638725281,0.0025543477199883795,0.5800523638725281,0.0025543477199883795,0.9915441989898681,0.0007852263476779643,0.007254447200008026,0.00011780231414041542,0.9987484355444305,0.0,0.9987484355444305,0.0,0.9987484355444305,0.0,0.0,0.0,0.0,0.0,0.15890083888024967,0.0005324182879450686,1.4205495805598751,0.0002662091439725417
mnist,GREATS,0.3,0.7,5,800.0,0.0,39.0,8.47938677028003,839.0,8.47938677028003,,,0.32316,0.012973226275680228,0.32316,0.012973226275680226,,,,,,,,,48.64366317130625,0.24914220258295888,0.0,0.0,,,797.0,0.0,0.41550000000000004,0.006331962570956965,0.0,0.0,0.5724329113960266,0.0014512256776069703,0.5724329113960266,0.0014512256776069703,0.9931025862693786,0.0005881287772437093,0.006974094401280372,0.00010400732189990991,0.9987484355444305,0.0,0.9987484355444305,0.0,0.9987484355444305,0.0,0.0,0.0,0.0,0.0,0.1574609288863608,0.000602695454072964,1.4212695355568197,0.00030134772703648417
mnist,GREATS,0.3,0.8,5,597.2,16.230834852218784,0.0,0.0,597.2,16.230834852218784,,,0.31588,0.012673018582800238,0.31588000000000005,0.012673018582800226,,,,,,,,,24.65128545779735,1.6159478646655443,1.0,0.0,,,594.2,16.230834852218784,0.4042074563181356,0.006606281873006102,0.0,0.0,0.5694313049316406,0.0013696535581999864,0.5694313049316406,0.0013696535581999864,0.9919036149978637,0.0008638425065242122,0.009765150750075228,0.0003167642268263454,0.998317697195802,4.612335270631415e-05,0.998317697195802,4.612335270631415e-05,0.998317697195802,4.612335270631415e-05,0.0,0.0,0.0,0.0,0.15995379545616542,0.0007639614143742726,1.4200231022719172,0.00038198070718714866
mnist,Marginal,0.3,0.0,5,800.0,0.0,1639.8,48.34397583980862,2439.8,48.34397583980862,0.5138596270000562,0.00968907307137428,0.24447999999999998,0.032780625375364636,0.24447999999999998,0.032780625375364636,,,,,,,,,49.308076115697624,0.25864153679636753,0.0,0.0,,,797.0,0.0,0.294,0.005440013786747234,0.0,0.0,0.566125750541687,0.001718192522243125,0.566125750541687,0.001718192522243125,0.998249089717865,0.0003601479873701277,0.005891925425549039,9.389394896142156e-05,0.9984981226533165,0.00025031289111387967,0.9982478097622026,0.00030656942963492537,0.9982478097622026,0.00030656942963492537,0.0,0.0,0.0,0.0,0.15950966552998308,0.0008986495236043204,1.4202451672350087,0.0004493247618021804
