method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.3,0.0,support,5000,0,800,1630,2430,0.5119129194645211,0.38139999999999996,0.3814,,,,,50.07655622891616,0,797,0.43,0.0,0.5707517266273499,0.5707517266273499,0.9909223318099976,0.00731398033220624,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.160352040013983,1.4198239799930086
Marginal,mnist,0,0.3,0.0,support,5000,0,800,1670,2470,0.5199362169369124,0.2552,0.2552,,,,,50.22596439498011,0,797,0.28375,0.0,0.5694370865821838,0.5694370865821838,0.9974602460861206,0.006036546044733529,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16099997108682665,1.4195000144565868
PU-R,mnist,0,0.3,0.0,support,5000,0,800,1692,2492,0.5243461698410101,0.2992,0.2992,,,,,105.9370532570174,0,797,0.33,0.0,0.5611400008201599,0.5611400008201599,0.9961235523223877,0.00783088930575958,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.1659601837386261,1.417019908130687
GREATS,mnist,0,0.3,0.0,support,5000,0,800,1622,2422,,0.4021,0.4021,,,,,62.04863703402225,0,797,0.42625,0.0,0.5871487855911255,0.5871487855911255,0.9882805347442627,0.008146666465921605,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16252564982613452,1.4187371750869326
MaxLoss,mnist,0,0.3,0.1,support,4500,500,800,1303,2103,0.4944621336180717,0.3879,0.3879,,,,,47.34715672302991,0,797,0.5025,0.0,0.5835546255111694,0.5835546255111694,0.9904126524925232,0.009069920150336993,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16998292495126183,1.415008537524369
Marginal,mnist,0,0.3,0.1,support,4500,500,800,1467,2267,0.5310331234941259,0.2501,0.2501,,,,,49.58409296802711,0,797,0.33375,0.0,0.5675327777862549,0.5675327777862549,0.9935327768325806,0.007722694365289039,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1637322995358571,1.4181338502320715
PU-R,mnist,0,0.3,0.1,support,4500,500,800,1560,2360,0.5517064559389837,0.3536,0.3536,,,,,102.6579141280381,0,797,0.4025,0.0,0.5887930989265442,0.5887930989265442,0.9899660348892212,0.009684633202524448,0.9974968710888611,0.9962453066332916,0.9949937421777222,0.0,0.0,0.16812757208128526,1.4159362139593574
GREATS,mnist,0,0.3,0.1,support,4500,500,800,1471,2271,,0.2903,0.2903,,,,,59.56151984690223,0,797,0.38125,0.0,0.5710816383361816,0.5710816383361816,0.9882568120956421,0.009578822742452907,0.9987484355444305,0.9962453066332916,0.9962453066332916,0.0,0.0,0.1708391964606769,1.4145804017696615
MaxLoss,mnist,0,0.3,0.2,support,4000,1000,800,1084,1884,0.49967455107253045,0.3599,0.3599,,,,,47.43834039394278,0,797,0.54125,0.0,0.5830029845237732,0.5830029845237732,0.9929904937744141,0.009653644757496848,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.171922051244921,1.4140389743775394
Marginal,mnist,0,0.3,0.2,support,4000,1000,800,1184,1984,0.52476983203087,0.24080000000000001,0.2408,,,,,49.46783850598149,0,797,0.31625,0.0,0.5768913626670837,0.5768913626670837,0.9911462068557739,0.00792351807088816,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1640582335687329,1.4179708832156335
