source,source_dir,condition,condition_fields,dataset,noise_rate,pretrain_fraction,es_budget,target_method,baseline_method,metric,direction,n_pairs,paired_seeds,target_mean,baseline_mean,diff_mean,diff_se,diff_ci95_low,diff_ci95_high,relative_change_percent,target_win_rate,target_loss_rate,target_tie_rate,target_better_all_pairs,target_better_ci95,baseline_better_ci95
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,test_inappropriate_risk,lower,5,0 1 2 3 4,0.45249999999999996,0.43499999999999994,0.017500000000000005,0.014221902123133874,-0.021980000293819624,0.05698000029381964,4.022988505747128,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,certified_bound,lower,5,0 1 2 3 4,0.4867433543666266,0.46852518889354544,0.018218165473081173,0.018331426931686823,-0.032669875689281445,0.06910620663544378,3.888406835949339,0.2,0.8,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,effective_compression_size,lower,5,0 1 2 3 4,2305.0,2214.4,90.6,91.10576271564823,-162.30959729863946,343.50959729863945,4.091401734104046,0.2,0.8,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,noise_hit_rate,lower,5,0 1 2 3 4,0.18461538461538463,0.1826923076923077,0.001923076923076933,0.02709423616077956,-0.07329052265924713,0.07713667650540099,1.0526315789473737,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,duplicate_hit_rate,lower,5,0 1 2 3 4,0.7519230769230769,0.7480769230769231,0.0038461538461538104,0.02386475701152087,-0.06240241161782812,0.07009471931013574,0.514138817480715,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,mode_entropy,higher,5,0 1 2 3 4,0.8985923798749826,0.9107366680722396,-0.012144288197256992,0.01683559637846169,-0.05887990374386664,0.034591327349352656,-1.3334576967196083,0.2,0.8,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,spectral_entropy,higher,5,0 1 2 3 4,0.23809584983394433,0.2492372310150745,-0.011141381181130238,0.009941765402834205,-0.038739721939397995,0.016456959577137515,-4.470191365774072,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,PU-R,runtime_sec,lower,5,0 1 2 3 4,3.326361583545804,2.632715716958046,0.6936458665877581,0.04562389053497105,0.5669939464626784,0.8202977867128377,26.347161682508837,0.0,1.0,0.0,0,0,1
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,test_inappropriate_risk,lower,5,0 1 2 3 4,0.45249999999999996,0.45810000000000006,-0.005599999999999994,0.014352613002516298,-0.045442853694985234,0.03424285369498525,-1.2224405151713584,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,certified_bound,lower,5,0 1 2 3 4,0.4867433543666266,0.49231241481611504,-0.005569060449488461,0.012188778549849327,-0.03940510970387019,0.02826698880489327,-1.131204552614944,0.6,0.4,0.0,0,0,0
