method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,0,0.0,0.0,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.7066757499706,1,66,0.0,0.028985507246376812,0.821907639503479
PU-C,0,0.0,0.0,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,0.16196420800406486,1,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,0,0.0,0.0,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.4835869160015136,1,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,0,0.0,0.0,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,0.3153876250144094,1,125,0.0,0.0703125,0.7428838610649109
MaxLoss,0,0.0,0.1,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,0.11273341695778072,1,46,0.0,0.0,0.9060881733894348
PU-C,0,0.0,0.1,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,0.1137113330187276,1,26,0.0,0.034482758620689655,0.8954413533210754
PU-F,0,0.0,0.1,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,0.10888820799300447,1,44,0.0,0.0,0.886849045753479
PU-G,0,0.0,0.1,2700,300,59,0,59,0.03179569693747908,0.008099999999999996,0.1199752910179086,1,56,0.0,0.0,0.8943890333175659
MaxLoss,0,0.0,0.2,2400,600,29,0,29,0.02017558040097356,0.0042999999999999705,0.0801219170098193,1,26,0.0,0.034482758620689655,0.8855744004249573
PU-C,0,0.0,0.2,2400,600,34,0,34,0.022852967551443726,0.007199999999999984,0.09187887498410419,1,31,0.0,0.08823529411764706,0.888832688331604
PU-F,0,0.0,0.2,2400,600,27,0,27,0.019091045192908496,0.0047000000000000375,0.09178591601084918,1,24,0.0,0.07407407407407407,0.8547935485839844
PU-G,0,0.0,0.2,2400,600,38,0,38,0.02496518089901656,0.007099999999999995,0.10304900002665818,1,35,0.0,0.02631578947368421,0.8617702126502991
MaxLoss,0,0.0,0.3,2100,900,26,0,26,0.02118325181072578,0.0049000000000000155,0.10576937498990446,1,23,0.0,0.0,0.8298300504684448
PU-C,0,0.0,0.3,2100,900,26,0,26,0.02118325181072578,0.0044999999999999485,0.11109987500822172,1,23,0.0,0.0,0.841343879699707
PU-F,0,0.0,0.3,2100,900,35,0,35,0.02670720242895186,0.0044999999999999485,0.12651062500663102,1,32,0.0,0.0,0.8435606360435486
PU-G,0,0.0,0.3,2100,900,31,0,31,0.02427371428348124,0.0037000000000000366,0.12176662497222424,1,28,0.0,0.0,0.7708287239074707
MaxLoss,0,0.0,0.4,1800,1200,30,0,30,0.027582303388044238,0.006199999999999983,0.12946408399147913,1,27,0.0,0.0,0.8670575022697449
PU-C,0,0.0,0.4,1800,1200,35,0,35,0.03113263612613082,0.00660000000000005,0.14116674999240786,1,32,0.0,0.0,0.8417289853096008
PU-F,0,0.0,0.4,1800,1200,30,0,30,0.027582303388044238,0.005600000000000049,0.13820254104211926,1,27,0.0,0.0,0.8359864950180054
PU-G,0,0.0,0.4,1800,1200,29,0,29,0.026864898565690964,0.0037000000000000366,0.13853641704190522,1,26,0.0,0.0,0.7821844220161438
MaxLoss,0,0.0,0.5,1500,1500,13,0,13,0.017839504580479115,0.0040000000000000036,0.13529274996835738,1,10,0.0,0.0,0.7394444346427917
PU-C,0,0.0,0.5,1500,1500,11,0,11,0.015915791620500386,0.0032999999999999696,0.1371800000197254,1,8,0.0,0.0,0.6769981980323792
PU-F,0,0.0,0.5,1500,1500,18,0,18,0.022487208247184753,0.006000000000000005,0.1426150419865735,1,15,0.0,0.0,0.8039473295211792
PU-G,0,0.0,0.5,1500,1500,22,0,22,0.02608497691107914,0.0048000000000000265,0.1489650410367176,1,19,0.0,0.0,0.7255277037620544
MaxLoss,0,0.0,0.6,1200,1800,16,0,16,0.025781950331293046,0.005499999999999949,0.16680179099785164,1,13,0.0,0.0625,0.7091673016548157
PU-C,0,0.0,0.6,1200,1800,21,0,21,0.03144788567442447,0.006000000000000005,0.17333775002043694,1,18,0.0,0.047619047619047616,0.8011261224746704
PU-F,0,0.0,0.6,1200,1800,13,0,13,0.022273400623816997,0.005299999999999971,0.16631366702495143,1,10,0.0,0.07692307692307693,0.7434936761856079
PU-G,0,0.0,0.6,1200,1800,10,0,10,0.018649740784894675,0.0023999999999999577,0.16540875000646338,1,7,0.0,0.1,0.6610970497131348
MaxLoss,0,0.0,0.7,900,2100,9,0,9,0.023171695414930582,0.0039000000000000146,0.18352095800219104,1,6,0.0,0.1111111111111111,0.6730473041534424
