method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
MaxLoss,0.0,0.0,10,110.0,6.139127697718046,0.0,0.0,110.0,6.139127697718046,0.04862546564545482,0.0023788500667503904,0.016070000000000008,0.0014744528175262548,0.20546038749162107,0.05636825739445504,1.0,0.0,107.0,6.139127697718046
MaxLoss,0.0,0.1,10,52.8,4.3787364996461395,0.0,0.0,52.8,4.3787364996461395,0.02893692853394896,0.001977786970596533,0.008850000000000002,0.0006933413461075435,0.1341811124992091,0.01767319083727563,1.0,0.0,49.8,4.3787364996461395
MaxLoss,0.0,0.2,10,38.9,4.974267115197306,0.0,0.0,38.9,4.974267115197306,0.025289198994869366,0.002600779901985442,0.00686000000000001,0.0006998730043530919,0.09118105430970899,0.005077591724313715,1.0,0.0,35.9,4.974267115197306
MaxLoss,0.0,0.3,10,30.2,3.4149995932975195,0.0,0.0,30.2,3.4149995932975195,0.023673741798847913,0.0020819721044534065,0.006210000000000016,0.0007415374419257407,0.1108177583955694,0.0031193776961001844,1.0,0.0,27.2,3.4149995932975195
MaxLoss,0.0,0.4,10,24.5,3.2939338184001206,0.0,0.0,24.5,3.2939338184001206,0.023424319340847433,0.002419778436796852,0.0059499999999999996,0.0008790462002774492,0.12738618780858815,0.0027760760865005894,1.0,0.0,21.5,3.2939338184001206
MaxLoss,0.0,0.5,10,20.9,2.5579940057266226,0.0,0.0,20.9,2.5579940057266226,0.02494158556801267,0.0023009969237125787,0.0066400000000000235,0.0005532128382859935,0.1451407249085605,0.002282142158131649,1.0,0.0,17.9,2.5579940057266226
MaxLoss,0.0,0.6,10,15.9,1.7156145643277025,0.0,0.0,15.9,1.7156145643277025,0.025547239457955583,0.001962711899914855,0.00522999999999999,0.000510348464831197,0.17027077919919975,0.0014745224041818159,1.0,0.0,12.9,1.7156145643277025
MaxLoss,0.0,0.7,10,10.5,1.327068615826292,0.0,0.0,10.5,1.327068615826292,0.02546324940631166,0.0021465060807428623,0.00413,0.0004336024805177065,0.18858643739949912,0.0013653724427522677,1.0,0.0,7.5,1.327068615826292
MaxLoss,0.0,0.8,10,7.4,0.8589399151150082,0.0,0.0,7.4,0.8589399151150082,0.030420314887305722,0.002207322292769279,0.004279999999999995,0.0006803267188964736,0.206760379410116,0.00090396172388821,1.0,0.0,4.4,0.8589399151150082
MaxLoss,0.4,0.0,10,478.7,15.097497953119401,0.0,0.0,478.7,15.097497953119401,0.1830450429348275,0.005346170302195336,0.018489999999999986,0.00198155101989438,0.7532790000957903,0.03334017296687826,1.0,0.0,475.7,15.097497953119401
MaxLoss,0.4,0.1,10,444.6,11.847362575695907,0.0,0.0,444.6,11.847362575695907,0.18969568023458122,0.004666919306377422,0.019929999999999993,0.0027330914527122674,0.8362383958068677,0.02592710399321501,1.0,0.0,441.6,11.847362575695907
MaxLoss,0.4,0.2,10,394.4,13.624487757955036,0.0,0.0,394.4,13.624487757955036,0.19077180916210637,0.006063842354201831,0.02076000000000001,0.001580731195083819,0.7339964666985906,0.026475802643809637,1.0,0.0,391.4,13.624487757955036
MaxLoss,0.4,0.3,10,354.6,13.093000674660741,0.0,0.0,354.6,13.093000674660741,0.19735418022610246,0.006656797094352267,0.022170000000000002,0.0020980970213770153,0.6674448625999503,0.02328980579654319,1.0,0.0,351.6,13.093000674660741
MaxLoss,0.4,0.4,10,308.0,10.842303978193728,0.0,0.0,308.0,10.842303978193728,0.20196998506435193,0.00645257439026305,0.023409999999999986,0.0026631831413638164,0.5917580208857544,0.01879997428090083,1.0,0.0,305.0,10.842303978193728
MaxLoss,0.4,0.5,10,259.8,9.360436836909791,0.0,0.0,259.8,9.360436836909791,0.20704971559462138,0.006730500360044242,0.023950000000000006,0.003312409327899496,0.5290958167053759,0.013581653925523126,1.0,0.0,256.8,9.360436836909791
MaxLoss,0.4,0.6,10,211.0,6.458413977991121,0.0,0.0,211.0,6.458413977991121,0.21378221123013647,0.005840844750201297,0.023970000000000012,0.0018610062988728532,0.48787332898937164,0.007460587798534142,1.0,0.0,208.0,6.458413977991121
MaxLoss,0.4,0.7,10,147.3,7.523370993850503,0.0,0.0,147.3,7.523370993850503,0.20598930105334148,0.009221322108688295,0.027139999999999987,0.002234885033085846,0.43172720419242977,0.010541078787182873,1.0,0.0,144.3,7.523370993850503
MaxLoss,0.4,0.8,10,99.2,6.494099886307057,0.0,0.0,99.2,6.494099886307057,0.2170469937089365,0.012129269437502206,0.05075999999999999,0.004550828984310933,0.3949607164016925,0.013162454916915546,1.0,0.0,96.2,6.494099886307057
PU-C,0.0,0.0,10,108.3,1.4533486237727757,0.0,0.0,108.3,1.4533486237727757,0.048014304105890915,0.00055946344200608,0.016959999999999996,0.0006083127850410858,0.19506456250092014,0.011605532002928215,1.0,0.0,105.3,1.4533486237727757
PU-C,0.0,0.1,10,52.2,3.869539162915053,0.0,0.0,52.2,3.869539162915053,0.02867243319633417,0.0017689250557884396,0.009060000000000002,0.0007185169912163984,0.11698185410932638,0.0034050943693008026,1.0,0.0,49.2,3.869539162915053
PU-C,0.0,0.2,10,39.5,3.992353803070175,0.0,0.0,39.5,3.992353803070175,0.025659991905558854,0.002080535888711129,0.0066500000000000005,0.0010251558147152328,0.10086421659798361,0.004881783972830151,1.0,0.0,36.5,3.992353803070175
PU-C,0.0,0.3,10,37.4,4.367048329376618,0.0,0.0,37.4,4.367048329376618,0.02801837051520124,0.0026103456387315768,0.006589999999999996,0.00046366894320074096,0.12683175840647892,0.005287413732438183,1.0,0.0,34.4,4.367048329376618
PU-C,0.0,0.4,10,29.2,1.8961950204437188,0.0,0.0,29.2,1.8961950204437188,0.02695864698616788,0.0013832375713179234,0.006630000000000025,0.0005412023651093909,0.13803501268848778,0.0020103801750325674,1.0,0.0,26.2,1.8961950204437188
