method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
MaxLoss,0,0.0,0.0,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.9124178329948336,1,66
PU-C,0,0.0,0.0,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,0.16897312499349937,1,109
PU-F,0,0.0,0.0,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.44400062499335036,1,99
PU-G,0,0.0,0.0,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,0.30084391694981605,1,125
GREATS,0,0.0,0.0,3000,0,125,0,125,,0.0043999999999999595,0.45051537500694394,1,122
MaxLoss,0,0.0,0.1,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,0.09326808404875919,1,46
PU-C,0,0.0,0.1,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,0.07674362504621968,1,26
PU-F,0,0.0,0.1,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,0.108493790961802,1,44
PU-G,0,0.0,0.1,2700,300,59,0,59,0.03179569693747908,0.008099999999999996,0.11903379199793562,1,56
GREATS,0,0.0,0.1,2700,300,69,0,69,,0.008399999999999963,0.1285312079708092,1,66
MaxLoss,0,0.0,0.2,2400,600,29,0,29,0.02017558040097356,0.0042999999999999705,0.08090179099235684,1,26
PU-C,0,0.0,0.2,2400,600,34,0,34,0.022852967551443726,0.007199999999999984,0.09463708399562165,1,31
PU-F,0,0.0,0.2,2400,600,27,0,27,0.019091045192908496,0.0047000000000000375,0.09261116600828245,1,24
PU-G,0,0.0,0.2,2400,600,38,0,38,0.02496518089901656,0.007099999999999995,0.10475233301986009,1,35
GREATS,0,0.0,0.2,2400,600,53,0,53,,0.007800000000000029,0.12472712498856708,1,50
MaxLoss,0,0.0,0.3,2100,900,26,0,26,0.02118325181072578,0.0049000000000000155,0.1052182920393534,1,23
PU-C,0,0.0,0.3,2100,900,26,0,26,0.02118325181072578,0.0044999999999999485,0.11224962503183633,1,23
PU-F,0,0.0,0.3,2100,900,35,0,35,0.02670720242895186,0.0044999999999999485,0.1270672499667853,1,32
PU-G,0,0.0,0.3,2100,900,31,0,31,0.02427371428348124,0.0037000000000000366,0.12243870802922174,1,28
GREATS,0,0.0,0.3,2100,900,30,0,30,,0.006000000000000005,0.11966541700530797,1,27
MaxLoss,0,0.0,0.4,1800,1200,30,0,30,0.027582303388044238,0.006199999999999983,0.13091195799643174,1,27
PU-C,0,0.0,0.4,1800,1200,35,0,35,0.03113263612613082,0.00660000000000005,0.15392541699111462,1,32
PU-F,0,0.0,0.4,1800,1200,30,0,30,0.027582303388044238,0.005600000000000049,0.14318670803913847,1,27
PU-G,0,0.0,0.4,1800,1200,29,0,29,0.026864898565690964,0.0037000000000000366,0.14127570897107944,1,26
GREATS,0,0.0,0.4,1800,1200,35,0,35,,0.007399999999999962,0.1474102910142392,1,32
MaxLoss,0,0.0,0.5,1500,1500,13,0,13,0.017839504580479115,0.0040000000000000036,0.13939329201821238,1,10
PU-C,0,0.0,0.5,1500,1500,11,0,11,0.015915791620500386,0.0032999999999999696,0.13811816700035706,1,8
PU-F,0,0.0,0.5,1500,1500,18,0,18,0.022487208247184753,0.006000000000000005,0.1492282499675639,1,15
PU-G,0,0.0,0.5,1500,1500,22,0,22,0.02608497691107914,0.0048000000000000265,0.15135170804569498,1,19
GREATS,0,0.0,0.5,1500,1500,21,0,21,,0.005299999999999971,0.15056366700446233,1,18
MaxLoss,0,0.0,0.6,1200,1800,16,0,16,0.025781950331293046,0.005499999999999949,0.16796241700649261,1,13
PU-C,0,0.0,0.6,1200,1800,21,0,21,0.03144788567442447,0.006000000000000005,0.17563054198399186,1,18
PU-F,0,0.0,0.6,1200,1800,13,0,13,0.022273400623816997,0.005299999999999971,0.16851608298020437,1,10
PU-G,0,0.0,0.6,1200,1800,10,0,10,0.018649740784894675,0.0023999999999999577,0.16698949999408796,1,7
GREATS,0,0.0,0.6,1200,1800,19,0,19,,0.0047000000000000375,0.1758374169585295,1,16
MaxLoss,0,0.0,0.7,900,2100,9,0,9,0.023171695414930582,0.0039000000000000146,0.18394087499473244,1,6
PU-C,0,0.0,0.7,900,2100,11,0,11,0.02644878235878423,0.0040999999999999925,0.18610633397474885,1,8
PU-F,0,0.0,0.7,900,2100,13,0,13,0.029640178836416453,0.00649999999999995,0.18938870797865093,1,10
PU-G,0,0.0,0.7,900,2100,10,0,10,0.024822357401717454,0.0016000000000000458,0.18730583402793854,1,7
GREATS,0,0.0,0.7,900,2100,12,0,12,,0.0036000000000000476,0.18955020903376862,1,9
MaxLoss,0,0.0,0.8,600,2400,4,0,4,0.021501237817574292,0.005600000000000049,0.2011243750457652,1,1
PU-C,0,0.0,0.8,600,2400,6,0,6,0.026965588273014873,0.0016000000000000458,0.20325170800788328,1,3
PU-F,0,0.0,0.8,600,2400,5,0,5,0.024279373232275248,0.0044999999999999485,0.20220875000813976,1,2
PU-G,0,0.0,0.8,600,2400,6,0,6,0.026965588273014873,0.0023999999999999577,0.2027650410309434,1,3
GREATS,0,0.0,0.8,600,2400,5,0,5,,0.0044999999999999485,0.20102654199581593,1,2
MaxLoss,0,0.4,0.0,3000,0,451,0,451,0.17326421377947554,0.023399999999999976,0.672634249960538,1,448
PU-C,0,0.4,0.0,3000,0,430,0,430,0.16580204077763483,0.008299999999999974,2.1678939589764923,1,427
PU-F,0,0.4,0.0,3000,0,446,0,446,0.17148905905196443,0.025000000000000022,4.199734875001013,1,443
PU-G,0,0.4,0.0,3000,0,495,0,495,0.18884600239107385,0.026699999999999946,4.70310762495501,1,492
GREATS,0,0.4,0.0,3000,0,496,0,496,,0.012599999999999945,3.0380092909908853,1,493
MaxLoss,0,0.4,0.1,2700,300,420,0,420,0.18002453196095303,0.021599999999999953,0.6621099580079317,1,417
PU-C,0,0.4,0.1,2700,300,437,0,437,0.18673023959854618,0.0232,2.2789214169606566,1,434
