method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
GREATS,0.0,0.0,10,143.6,6.650313275828942,0.0,0.0,143.6,6.650313275828942,,,0.004559999999999986,0.0005746883213244089,0.5257636458030902,0.02380269247293769,1.0,0.0,140.6,6.650313275828942
GREATS,0.0,0.1,10,68.3,4.962190376570948,0.0,0.0,68.3,4.962190376570948,,,0.007869999999999988,0.0004179447066033709,0.13377667068270965,0.008075414374244966,1.0,0.0,65.3,4.962190376570948
GREATS,0.0,0.2,10,53.5,4.9289394847618535,0.0,0.0,53.5,4.9289394847618535,,,0.007150000000000012,0.0006764695936338265,0.12782743730349466,0.00764086953281702,1.0,0.0,50.5,4.9289394847618535
GREATS,0.0,0.3,10,37.3,4.3206223831501145,0.0,0.0,37.3,4.3206223831501145,,,0.005570000000000008,0.0004155451573268309,0.13435360818984918,0.006470729937421089,1.0,0.0,34.3,4.3206223831501145
GREATS,0.0,0.4,10,30.6,2.8331372481167696,0.0,0.0,30.6,2.8331372481167696,,,0.006079999999999986,0.0005636783953047482,0.14481864580884576,0.003801847285235161,1.0,0.0,27.6,2.8331372481167696
GREATS,0.0,0.5,10,24.0,2.054804667656325,0.0,0.0,24.0,2.054804667656325,,,0.006410000000000004,0.0005795496335757423,0.15658617070293984,0.002522142777432845,1.0,0.0,21.0,2.054804667656325
GREATS,0.0,0.6,10,18.1,2.396525262402492,0.0,0.0,18.1,2.396525262402492,,,0.005330000000000024,0.000646365909442084,0.17861188350361773,0.0033108278219218744,1.0,0.0,15.1,2.3965252624024918
GREATS,0.0,0.7,10,11.7,1.145522685162639,0.0,0.0,11.7,1.145522685162639,,,0.004869999999999997,0.00048443552489240246,0.1918582541984506,0.0014202257780877128,1.0,0.0,8.7,1.145522685162639
GREATS,0.0,0.8,10,8.3,0.8950481054731702,0.0,0.0,8.3,0.8950481054731702,,,0.0050400000000000115,0.0005985538126740709,0.2085107377031818,0.0015387877122912525,1.0,0.0,5.3,0.8950481054731702
GREATS,0.4,0.0,10,533.7,13.021392654653598,3.1,3.0999999999999996,536.8,14.994665718181245,,,0.018389999999999972,0.0021305945961945347,4.180714925093343,0.2111314952771948,0.9,0.09999999999999999,530.7,13.021392654653598
GREATS,0.4,0.1,10,525.3,13.171560272040665,1.3,1.2999999999999996,526.6,14.027116596079182,,,0.018799999999999994,0.0022269061747435866,3.841454045800492,0.1997500209983145,0.9,0.09999999999999999,522.3,13.171560272040665
GREATS,0.4,0.2,10,475.3,9.371410423908095,0.0,0.0,475.3,9.371410423908095,,,0.01879000000000003,0.002510044266984594,3.0876074332976713,0.21153634369880436,1.0,0.0,472.3,9.371410423908095
GREATS,0.4,0.3,10,394.1,10.413079382306762,0.0,0.0,394.1,10.413079382306762,,,0.017339999999999977,0.0022514785265588355,2.1025097625039053,0.18383101469260393,1.0,0.0,391.1,10.413079382306762
GREATS,0.4,0.4,10,353.7,9.677063374575757,0.0,0.0,353.7,9.677063374575757,,,0.01925999999999998,0.002358257360378166,1.490563116699923,0.1362135689274113,1.0,0.0,350.7,9.677063374575757
GREATS,0.4,0.5,10,307.1,7.7020199370756695,0.0,0.0,307.1,7.7020199370756695,,,0.02015,0.0019013007243580441,0.9219955870998092,0.08131786111330129,1.0,0.0,304.1,7.7020199370756695
GREATS,0.4,0.6,10,241.3,7.1228115547474955,0.0,0.0,241.3,7.1228115547474955,,,0.020080000000000008,0.001782183429890921,0.576741508312989,0.018915981087893365,1.0,0.0,238.3,7.1228115547474955
GREATS,0.4,0.7,10,169.0,8.848100863399383,0.0,0.0,169.0,8.848100863399383,,,0.026680000000000002,0.003779706043831683,0.46066122518386693,0.033272699794592436,1.0,0.0,166.0,8.848100863399383
GREATS,0.4,0.8,10,100.9,8.115075134861318,0.0,0.0,100.9,8.115075134861318,,,0.03504999999999999,0.005253364001602527,0.32077039990690537,0.011486921908802902,1.0,0.0,97.9,8.115075134861318
MaxLoss,0.0,0.0,10,110.0,6.139127697718046,0.0,0.0,110.0,6.139127697718046,0.04862546564545482,0.0023788500667503904,0.016070000000000008,0.0014744528175262548,0.2163278417021502,0.07806110334317837,1.0,0.0,107.0,6.139127697718046
MaxLoss,0.0,0.1,10,52.8,4.3787364996461395,0.0,0.0,52.8,4.3787364996461395,0.02893692853394896,0.001977786970596533,0.008850000000000002,0.0006933413461075435,0.09763749191188253,0.007590778819239282,1.0,0.0,49.8,4.3787364996461395
MaxLoss,0.0,0.2,10,38.9,4.974267115197306,0.0,0.0,38.9,4.974267115197306,0.025289198994869366,0.002600779901985442,0.00686000000000001,0.0006998730043530919,0.09117882900754921,0.004775799779621615,1.0,0.0,35.9,4.974267115197306
MaxLoss,0.0,0.3,10,30.2,3.4149995932975195,0.0,0.0,30.2,3.4149995932975195,0.023673741798847913,0.0020819721044534065,0.006210000000000016,0.0007415374419257407,0.11654570830287411,0.005099447928812595,1.0,0.0,27.2,3.4149995932975195
MaxLoss,0.0,0.4,10,24.5,3.2939338184001206,0.0,0.0,24.5,3.2939338184001206,0.023424319340847433,0.002419778436796852,0.0059499999999999996,0.0008790462002774492,0.12904409580514767,0.002900448158311413,1.0,0.0,21.5,3.2939338184001206
MaxLoss,0.0,0.5,10,20.9,2.5579940057266226,0.0,0.0,20.9,2.5579940057266226,0.02494158556801267,0.0023009969237125787,0.0066400000000000235,0.0005532128382859935,0.14635387930320576,0.002262756114429857,1.0,0.0,17.9,2.5579940057266226
MaxLoss,0.0,0.6,10,15.9,1.7156145643277025,0.0,0.0,15.9,1.7156145643277025,0.025547239457955583,0.001962711899914855,0.00522999999999999,0.000510348464831197,0.17323760000872426,0.00268097438994848,1.0,0.0,12.9,1.7156145643277025
MaxLoss,0.0,0.7,10,10.5,1.327068615826292,0.0,0.0,10.5,1.327068615826292,0.02546324940631166,0.0021465060807428623,0.00413,0.0004336024805177065,0.18974933329736815,0.0021829527495327555,1.0,0.0,7.5,1.327068615826292
MaxLoss,0.0,0.8,10,7.4,0.8589399151150082,0.0,0.0,7.4,0.8589399151150082,0.030420314887305722,0.002207322292769279,0.004279999999999995,0.0006803267188964736,0.20612134580151178,0.0007957508183510017,1.0,0.0,4.4,0.8589399151150082
MaxLoss,0.4,0.0,10,478.7,15.097497953119401,0.0,0.0,478.7,15.097497953119401,0.1830450429348275,0.005346170302195336,0.018489999999999986,0.00198155101989438,0.7802793751994613,0.035461719795101466,1.0,0.0,475.7,15.097497953119401
MaxLoss,0.4,0.1,10,444.6,11.847362575695907,0.0,0.0,444.6,11.847362575695907,0.18969568023458122,0.004666919306377422,0.019929999999999993,0.0027330914527122674,0.7718795122986194,0.0335472321247076,1.0,0.0,441.6,11.847362575695907
