method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,0,0.0,0.0,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.7372782920137979,1,66,0.0,0.028985507246376812,0.821907639503479
PU-C,0,0.0,0.0,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,0.16108558303676546,1,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,0,0.0,0.0,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.46353545802412555,1,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,0,0.0,0.0,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,0.3144419159507379,1,125,0.0,0.0703125,0.7428838610649109
GREATS,0,0.0,0.0,3000,0,125,0,125,,0.0043999999999999595,0.4525192079599947,1,122,0.0,0.152,0.6658801436424255
MaxLoss,0,0.1,0.0,3000,0,217,0,217,0.08884938451228663,0.006000000000000005,0.30528966698329896,1,214,0.18433179723502305,0.2119815668202765,0.4699666500091553
PU-C,0,0.1,0.0,3000,0,234,0,234,0.09510343405418098,0.009800000000000031,1.1047905840096064,1,231,0.15384615384615385,0.2264957264957265,0.5479567050933838
PU-F,0,0.1,0.0,3000,0,218,0,218,0.08921801397809759,0.007299999999999973,2.2054451660369523,1,215,0.1651376146788991,0.26146788990825687,0.44260740280151367
PU-G,0,0.1,0.0,3000,0,261,0,261,0.104985382524319,0.006099999999999994,1.8785731249954551,1,258,0.1532567049808429,0.20306513409961685,0.8065060377120972
GREATS,0,0.1,0.0,3000,0,275,0,275,,0.0047000000000000375,1.1504132919944823,1,272,0.14545454545454545,0.2290909090909091,0.4531620740890503
MaxLoss,0,0.2,0.0,3000,0,291,0,291,0.11590090347453952,0.008499999999999952,0.5311488750157878,1,288,0.26804123711340205,0.4536082474226804,0.5431416630744934
PU-C,0,0.2,0.0,3000,0,306,0,306,0.1213360158726573,0.008499999999999952,1.4491099170409143,1,303,0.2549019607843137,0.42483660130718953,0.34998950362205505
