method,noise_rate,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
GREATS,0.0,10,143.6,6.650313275828942,0.0,0.0,143.6,6.650313275828942,,,0.004559999999999986,0.0005746883213244089,0.49988370829378254,0.01872073270017783,1.0,0.0,140.6,6.650313275828942,0.0,0.0,0.1981272165937506,0.01550845136430623,0.6425585567951202,0.014172797348867661
GREATS,0.1,10,259.1,7.460190643974485,0.0,0.0,259.1,7.460190643974485,,,0.004680000000000006,0.0011799058342841485,1.011906575091416,0.06892637441637048,1.0,0.0,256.1,7.460190643974485,0.15145964574804044,0.004799126840108148,0.3165627554981393,0.014129553722517603,0.5260075986385345,0.016814375274075193
GREATS,0.2,10,386.1,9.904488320397418,0.0,0.0,386.1,9.904488320397418,,,0.008029999999999992,0.0008626895926886586,2.087403720797738,0.15857918417374872,1.0,0.0,383.1,9.904488320397418,0.20579193425607625,0.005433158015807362,0.3814651911428679,0.00762061939033488,0.4417648196220398,0.029724211210967733
GREATS,0.3,10,468.7,10.354870029765381,0.0,0.0,468.7,10.354870029765381,,,0.013970000000000005,0.0016590526078324214,3.0599007667042315,0.16715641474987206,1.0,0.0,465.7,10.354870029765381,0.2507278556544855,0.0036335762865027676,0.41080430491141834,0.006532943705263169,0.41218063682317735,0.032946472526452
GREATS,0.4,10,535.6,14.183088521193119,0.0,0.0,535.6,14.183088521193119,,,0.01660999999999997,0.0017196543580356865,3.8057803001080175,0.2617829141714568,1.0,0.0,532.6,14.183088521193119,0.2883507519150388,0.005374899959451419,0.41990508487101785,0.007548855900118947,0.4103801041841507,0.023357189686208906
MaxLoss,0.0,10,110.0,6.139127697718046,0.0,0.0,110.0,6.139127697718046,0.04862546564545482,0.0023788500667503904,0.016070000000000008,0.0014744528175262548,0.3311217667069286,0.04533328205888097,1.0,0.0,107.0,6.139127697718046,0.0,0.0,0.14556345460777073,0.02228378196621433,0.839536988735199,0.008149995687425063
MaxLoss,0.1,10,202.8,9.206036666835034,0.0,0.0,202.8,9.206036666835034,0.08356221952126361,0.0034153931571912276,0.008319999999999994,0.0008406082453927127,0.3613693875900935,0.01859574568894441,1.0,0.0,199.8,9.206036666835034,0.1955399255666669,0.009882788100099191,0.3083422890025507,0.016541664538138625,0.5316614717245102,0.02888262825045348
MaxLoss,0.2,10,295.7,12.80282086972329,0.0,0.0,295.7,12.80282086972329,0.1175577859801706,0.00464259931153922,0.010370000000000013,0.0008080222769206364,0.5668328041036148,0.024737242748564117,1.0,0.0,292.7,12.80282086972329,0.25766039447418754,0.007172533374544854,0.3936151738531991,0.011375155901035773,0.46245144307613373,0.02413705681610179
MaxLoss,0.3,10,400.1,9.080442965210697,0.0,0.0,400.1,9.080442965210697,0.15513029391295277,0.0032407516494084234,0.01312000000000001,0.001277914968480559,0.7694033830950502,0.016597160084956146,1.0,0.0,397.1,9.080442965210697,0.2928221842148714,0.006127817214702071,0.43312411511493076,0.00968601532804285,0.47379935085773467,0.029210269485763895
MaxLoss,0.4,10,478.7,15.097497953119401,0.0,0.0,478.7,15.097497953119401,0.1830450429348275,0.005346170302195336,0.018489999999999986,0.00198155101989438,0.9511832915944979,0.03973193530090567,1.0,0.0,475.7,15.097497953119401,0.32089801040663823,0.00627358339260395,0.4433774649261258,0.008251471837851463,0.5095665961503982,0.04659250796756844
