method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,0,0.0,0.0,50,50,3000,0,54,20,74,0.03462917119031772,0.011199999999999988,0.8711777909775265,0,0,51,0.0,0.037037037037037035,0.8361444473266602
MaxLoss,0,0.0,0.0,100,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.8930461659911089,1,0,66,0.0,0.028985507246376812,0.821907639503479
MaxLoss,0,0.0,0.0,200,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.8955692080198787,1,0,66,0.0,0.028985507246376812,0.821907639503479
PU-C,0,0.0,0.0,50,50,3000,0,54,100,154,0.06540102750295773,0.04490000000000005,0.0912824579863809,0,0,51,0.0,0.0,0.85820472240448
PU-C,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.02070000000000005,0.17142516700550914,0,0,101,0.0,0.028846153846153848,0.8476250767707825
PU-C,0,0.0,0.0,200,108,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,0.22314750001532957,1,0,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,0,0.0,0.0,50,50,3000,0,54,33,87,0.03974871715763584,0.024399999999999977,0.3155012089991942,0,0,51,0.0,0.0,0.8562577366828918
PU-F,0,0.0,0.0,100,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.4306682500173338,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-F,0,0.0,0.0,200,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.43330587504897267,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,0,0.0,0.0,50,50,3000,0,54,84,138,0.059359475679229945,0.03420000000000001,0.18062620802083984,0,0,51,0.0,0.037037037037037035,0.7719088196754456
PU-G,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.016100000000000003,0.2916751660523005,0,0,101,0.0,0.07692307692307693,0.7522822618484497
PU-G,0,0.0,0.0,200,124,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,0.3417525830445811,1,0,125,0.0,0.0703125,0.7428838610649109
MaxLoss,0,0.0,0.1,50,45,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,0.11272604204714298,1,0,46,0.0,0.0,0.9060881733894348
MaxLoss,0,0.0,0.1,100,45,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,0.1158761249971576,1,0,46,0.0,0.0,0.9060881733894348
MaxLoss,0,0.0,0.1,200,45,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,0.11874804203398526,1,0,46,0.0,0.0,0.9060881733894348
PU-C,0,0.0,0.1,50,25,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,0.0898196249618195,1,0,26,0.0,0.034482758620689655,0.8954413533210754
