method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
MaxLoss,0.0,0.0,100,10,94.4,3.5534021256630473,98.4,3.5534021256630473,10.9,3.3080709383768254,109.3,6.093803774691505,0.04835667890147306,0.0023608582399773283,0.020200000000000006,0.0017379425895133742,0.2235718375944998,0.0747133782072193,0.3,0.15275252316519466,0.0,0.0,95.4,3.5534021256630473,0.0,0.0,0.14322067711083727,0.025248208216284457,0.8448368012905121,0.008032534282231898
MaxLoss,0.0,0.0,200,10,106.0,6.139127697718046,110.0,6.139127697718046,0.0,0.0,110.0,6.139127697718046,0.04862546564545482,0.0023788500667503904,0.016070000000000008,0.0014744528175262548,0.2439465167117305,0.07317917672600746,1.0,0.0,0.0,0.0,107.0,6.139127697718046,0.0,0.0,0.14556345460777073,0.02228378196621433,0.839536988735199,0.008149995687425063
MaxLoss,0.0,0.0,50,10,50.0,0.0,54.0,0.0,85.9,13.749707067586726,139.9,13.749707067586726,0.05991451505105942,0.00523858173708994,0.03478000000000001,0.004124743763085306,0.15350670000188985,0.0797753608099707,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.11111111111111112,0.03795166950355407,0.8462794542312622,0.012670502684101885
MaxLoss,0.0,0.1,100,10,48.8,4.3787364996461395,52.8,4.3787364996461395,0.0,0.0,52.8,4.3787364996461395,0.02893692853394896,0.001977786970596533,0.008850000000000002,0.0006933413461075435,0.14339514580206014,0.01928916800582077,1.0,0.0,0.0,0.0,49.8,4.3787364996461395,0.0,0.0,0.117062833125537,0.03269244210552512,0.9133869230747222,0.005991034777890307
MaxLoss,0.0,0.1,200,10,48.8,4.3787364996461395,52.8,4.3787364996461395,0.0,0.0,52.8,4.3787364996461395,0.02893692853394896,0.001977786970596533,0.008850000000000002,0.0006933413461075435,0.14670663769356906,0.019570397550847697,1.0,0.0,0.0,0.0,49.8,4.3787364996461395,0.0,0.0,0.117062833125537,0.03269244210552512,0.9133869230747222,0.005991034777890307
MaxLoss,0.0,0.1,50,10,44.2,2.3036203390894663,48.2,2.3036203390894663,5.4,3.409789827345179,53.6,4.888080741286229,0.029286816908279435,0.0021989475336211543,0.010099999999999998,0.0014647715028479832,0.1311385336040985,0.01687678080178843,0.7,0.15275252316519464,0.0,0.0,45.2,2.3036203390894663,0.0,0.0,0.12860609986316632,0.03956366283844442,0.9133275866508483,0.00575081358452671
MaxLoss,0.0,0.2,100,10,34.9,4.974267115197306,38.9,4.974267115197306,0.0,0.0,38.9,4.974267115197306,0.025289198994869366,0.002600779901985442,0.00686000000000001,0.0006998730043530919,0.09471532090101391,0.005804711561041839,1.0,0.0,0.0,0.0,35.9,4.974267115197306,0.0,0.0,0.1275221481119879,0.031969940289015925,0.8925314724445343,0.010965686346441472
MaxLoss,0.0,0.2,200,10,34.9,4.974267115197306,38.9,4.974267115197306,0.0,0.0,38.9,4.974267115197306,0.025289198994869366,0.002600779901985442,0.00686000000000001,0.0006998730043530919,0.09691890420508571,0.00582700538084859,1.0,0.0,0.0,0.0,35.9,4.974267115197306,0.0,0.0,0.1275221481119879,0.031969940289015925,0.8925314724445343,0.010965686346441472
MaxLoss,0.0,0.2,50,10,33.3,4.203305577492288,37.3,4.203305577492288,1.0,0.6831300510639733,38.3,4.673922929997407,0.02498737085843459,0.0024510132798857944,0.006960000000000022,0.0007338180216435778,0.09057247909950092,0.004787771135822493,0.8,0.13333333333333333,0.0,0.0,34.3,4.203305577492288,0.0,0.0,0.12471450175595444,0.03121149790997307,0.8922632217407227,0.010913030636511858
MaxLoss,0.0,0.3,100,10,26.2,3.4149995932975195,30.2,3.4149995932975195,0.0,0.0,30.2,3.4149995932975195,0.023673741798847913,0.0020819721044534065,0.006210000000000016,0.0007415374419257407,0.11322382910293527,0.0035480399594275723,1.0,0.0,0.0,0.0,27.2,3.4149995932975195,0.0,0.0,0.12167104918890632,0.030076689622071343,0.8273474037647247,0.018067185683208746
MaxLoss,0.0,0.3,200,10,26.2,3.4149995932975195,30.2,3.4149995932975195,0.0,0.0,30.2,3.4149995932975195,0.023673741798847913,0.0020819721044534065,0.006210000000000016,0.0007415374419257407,0.11541498741135,0.0036022311847185924,1.0,0.0,0.0,0.0,27.2,3.4149995932975195,0.0,0.0,0.12167104918890632,0.030076689622071343,0.8273474037647247,0.018067185683208746
MaxLoss,0.0,0.3,50,10,26.2,3.4149995932975195,30.2,3.4149995932975195,0.0,0.0,30.2,3.4149995932975195,0.023673741798847913,0.0020819721044534065,0.006210000000000016,0.0007415374419257407,0.11085738321417012,0.0034631561325831187,1.0,0.0,0.0,0.0,27.2,3.4149995932975195,0.0,0.0,0.12167104918890632,0.030076689622071343,0.8273474037647247,0.018067185683208746
MaxLoss,0.0,0.4,100,10,20.5,3.2939338184001206,24.5,3.2939338184001206,0.0,0.0,24.5,3.2939338184001206,0.023424319340847433,0.002419778436796852,0.0059499999999999996,0.0008790462002774492,0.13064803749439308,0.003405488847985149,1.0,0.0,0.0,0.0,21.5,3.2939338184001206,0.0,0.0,0.1171117125472934,0.032349999324169335,0.8338398635387421,0.020610348011697623
MaxLoss,0.0,0.4,200,10,20.5,3.2939338184001206,24.5,3.2939338184001206,0.0,0.0,24.5,3.2939338184001206,0.023424319340847433,0.002419778436796852,0.0059499999999999996,0.0008790462002774492,0.1328124706982635,0.0034411985013938218,1.0,0.0,0.0,0.0,21.5,3.2939338184001206,0.0,0.0,0.1171117125472934,0.032349999324169335,0.8338398635387421,0.020610348011697623
MaxLoss,0.0,0.4,50,10,20.5,3.2939338184001206,24.5,3.2939338184001206,0.0,0.0,24.5,3.2939338184001206,0.023424319340847433,0.002419778436796852,0.0059499999999999996,0.0008790462002774492,0.12842290840344503,0.0034013135988367952,1.0,0.0,0.0,0.0,21.5,3.2939338184001206,0.0,0.0,0.1171117125472934,0.032349999324169335,0.8338398635387421,0.020610348011697623
MaxLoss,0.0,0.5,100,10,16.9,2.5579940057266226,20.9,2.5579940057266226,0.0,0.0,20.9,2.5579940057266226,0.02494158556801267,0.0023009969237125787,0.0066400000000000235,0.0005532128382859935,0.1468918664031662,0.0025403844589812433,1.0,0.0,0.0,0.0,17.9,2.5579940057266226,0.0,0.0,0.12458537835424026,0.024917317018368596,0.7814142882823945,0.024296239968423596
MaxLoss,0.0,0.5,200,10,16.9,2.5579940057266226,20.9,2.5579940057266226,0.0,0.0,20.9,2.5579940057266226,0.02494158556801267,0.0023009969237125787,0.0066400000000000235,0.0005532128382859935,0.14909665809827857,0.0025456290849161546,1.0,0.0,0.0,0.0,17.9,2.5579940057266226,0.0,0.0,0.12458537835424026,0.024917317018368596,0.7814142882823945,0.024296239968423596
MaxLoss,0.0,0.5,50,10,16.9,2.5579940057266226,20.9,2.5579940057266226,0.0,0.0,20.9,2.5579940057266226,0.02494158556801267,0.0023009969237125787,0.0066400000000000235,0.0005532128382859935,0.14457840389222837,0.002512657383147912,1.0,0.0,0.0,0.0,17.9,2.5579940057266226,0.0,0.0,0.12458537835424026,0.024917317018368596,0.7814142882823945,0.024296239968423596
MaxLoss,0.0,0.6,100,10,11.9,1.7156145643277025,15.9,1.7156145643277025,0.0,0.0,15.9,1.7156145643277025,0.025547239457955583,0.001962711899914855,0.00522999999999999,0.000510348464831197,0.17063794159330428,0.0016587942085659173,1.0,0.0,0.0,0.0,12.9,1.7156145643277025,0.0,0.0,0.14428743315508022,0.03411471836719882,0.750564694404602,0.017074703757265906
MaxLoss,0.0,0.6,200,10,11.9,1.7156145643277025,15.9,1.7156145643277025,0.0,0.0,15.9,1.7156145643277025,0.025547239457955583,0.001962711899914855,0.00522999999999999,0.000510348464831197,0.17285876650130377,0.00164246415839851,1.0,0.0,0.0,0.0,12.9,1.7156145643277025,0.0,0.0,0.14428743315508022,0.03411471836719882,0.750564694404602,0.017074703757265906
MaxLoss,0.0,0.6,50,10,11.9,1.7156145643277025,15.9,1.7156145643277025,0.0,0.0,15.9,1.7156145643277025,0.025547239457955583,0.001962711899914855,0.00522999999999999,0.000510348464831197,0.16818612070637756,0.0015985579650282002,1.0,0.0,0.0,0.0,12.9,1.7156145643277025,0.0,0.0,0.14428743315508022,0.03411471836719882,0.750564694404602,0.017074703757265906
MaxLoss,0.0,0.7,100,10,6.5,1.327068615826292,10.5,1.327068615826292,0.0,0.0,10.5,1.327068615826292,0.02546324940631166,0.0021465060807428623,0.00413,0.0004336024805177065,0.18942919159890154,0.0013124598431456774,1.0,0.0,0.0,0.0,7.5,1.327068615826292,0.0,0.0,0.13331349206349205,0.03587171907041723,0.6749460160732269,0.02707894110442905
MaxLoss,0.0,0.7,200,10,6.5,1.327068615826292,10.5,1.327068615826292,0.0,0.0,10.5,1.327068615826292,0.02546324940631166,0.0021465060807428623,0.00413,0.0004336024805177065,0.1917993582901545,0.001391354556804371,1.0,0.0,0.0,0.0,7.5,1.327068615826292,0.0,0.0,0.13331349206349205,0.03587171907041723,0.6749460160732269,0.02707894110442905
MaxLoss,0.0,0.7,50,10,6.5,1.327068615826292,10.5,1.327068615826292,0.0,0.0,10.5,1.327068615826292,0.02546324940631166,0.0021465060807428623,0.00413,0.0004336024805177065,0.18699082499952055,0.001249533226518355,1.0,0.0,0.0,0.0,7.5,1.327068615826292,0.0,0.0,0.13331349206349205,0.03587171907041723,0.6749460160732269,0.02707894110442905
