method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,0,0.0,0.0,50,50,3000,0,54,20,74,0.03462917119031772,0.011199999999999988,0.7503304579877295,0,0,51,0.0,0.037037037037037035,0.8361444473266602
MaxLoss,0,0.0,0.0,100,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.7709734159871005,1,0,66,0.0,0.028985507246376812,0.821907639503479
MaxLoss,0,0.0,0.0,200,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,0.7728380410117097,1,0,66,0.0,0.028985507246376812,0.821907639503479
PU-C,0,0.0,0.0,50,50,3000,0,54,100,154,0.06540102750295773,0.04490000000000005,0.08374362497124821,0,0,51,0.0,0.0,0.85820472240448
PU-C,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.02070000000000005,0.2982978749787435,0,0,101,0.0,0.028846153846153848,0.8476250767707825
PU-C,0,0.0,0.0,200,108,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,0.39065016695531085,1,0,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,0,0.0,0.0,50,50,3000,0,54,33,87,0.03974871715763584,0.024399999999999977,0.3015516659943387,0,0,51,0.0,0.0,0.8562577366828918
PU-F,0,0.0,0.0,100,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.4189233749639243,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-F,0,0.0,0.0,200,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,0.42137925000861287,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,0,0.0,0.0,50,50,3000,0,54,84,138,0.059359475679229945,0.03420000000000001,0.17904954100959003,0,0,51,0.0,0.037037037037037035,0.7719088196754456
PU-G,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.016100000000000003,0.2855737910140306,0,0,101,0.0,0.07692307692307693,0.7522822618484497
PU-G,0,0.0,0.0,200,124,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,0.33218033297453076,1,0,125,0.0,0.0703125,0.7428838610649109
MaxLoss,0,0.1,0.0,50,50,3000,0,54,419,473,0.1810637908638455,0.11529999999999996,0.0837502499925904,0,0,51,0.24074074074074073,0.24074074074074073,0.8826497197151184
MaxLoss,0,0.1,0.0,100,100,3000,0,104,366,470,0.1800012559397146,0.10109999999999997,0.17069291701773182,0,0,101,0.19230769230769232,0.21153846153846154,0.8763235211372375
MaxLoss,0,0.1,0.0,200,200,3000,0,204,47,251,0.1013322458602488,0.018299999999999983,0.34941145800985396,0,1,201,0.19607843137254902,0.21568627450980393,0.46008846163749695
PU-C,0,0.1,0.0,50,50,3000,0,54,483,537,0.20365789777133614,0.131,0.26157237496227026,0,0,51,0.2777777777777778,0.3148148148148148,0.7593483328819275
PU-C,0,0.1,0.0,100,100,3000,0,104,351,455,0.1746836540987715,0.09450000000000003,0.5893037499627098,0,0,101,0.2403846153846154,0.34615384615384615,0.6965537071228027
PU-C,0,0.1,0.0,200,200,3000,0,204,17,221,0.09032332972856238,0.012800000000000034,1.3930455829831772,0,1,201,0.16176470588235295,0.23529411764705882,0.556542158126831
PU-F,0,0.1,0.0,50,50,3000,0,54,420,474,0.18141789734363556,0.09689999999999999,0.47028554102871567,0,0,51,0.2777777777777778,0.2777777777777778,0.8895493745803833
PU-F,0,0.1,0.0,100,100,3000,0,104,313,417,0.16117378696799278,0.07609999999999995,1.2736413329839706,0,0,101,0.21153846153846154,0.25,0.9042603969573975
PU-F,0,0.1,0.0,200,200,3000,0,204,54,258,0.10389025183394551,0.02090000000000003,2.374239791010041,0,1,201,0.16666666666666666,0.25980392156862747,0.45011740922927856
