method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
MaxLoss,0.0,0.0,100,10,94.4,3.5534021256630473,98.4,3.5534021256630473,10.9,3.3080709383768254,109.3,6.093803774691505,0.04835667890147306,0.0023608582399773283,0.020200000000000006,0.0017379425895133742,0.3160226498963311,0.05061869738237788,0.3,0.15275252316519466,0.0,0.0,95.4,3.5534021256630473,0.0,0.0,0.14322067711083727,0.025248208216284457,0.8448368012905121,0.008032534282231898
MaxLoss,0.0,0.0,200,10,106.0,6.139127697718046,110.0,6.139127697718046,0.0,0.0,110.0,6.139127697718046,0.04862546564545482,0.0023788500667503904,0.016070000000000008,0.0014744528175262548,0.3339431167929433,0.04906974094220482,1.0,0.0,0.0,0.0,107.0,6.139127697718046,0.0,0.0,0.14556345460777073,0.02228378196621433,0.839536988735199,0.008149995687425063
MaxLoss,0.0,0.0,50,10,50.0,0.0,54.0,0.0,85.9,13.749707067586726,139.9,13.749707067586726,0.05991451505105942,0.00523858173708994,0.03478000000000001,0.004124743763085306,0.22368085839552804,0.05875063287881499,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.11111111111111112,0.03795166950355407,0.8462794542312622,0.012670502684101885
MaxLoss,0.1,0.0,100,10,100.0,0.0,104.0,0.0,236.2,43.427282771189915,340.2,43.427282771189915,0.13317801782977767,0.01569880002713953,0.06588000000000002,0.010091622488204978,0.18121066261082888,0.017327477915822894,0.0,0.0,0.0,0.0,101.0,0.0,0.23653846153846153,0.01971609807593551,0.30288461538461536,0.030683976441400324,0.7780896782875061,0.026451541475973662
MaxLoss,0.1,0.0,200,10,188.4,6.0151660178437485,192.4,6.0151660178437485,45.6,23.455963468214694,238.0,26.531323206939962,0.09633465760853141,0.009642085110307452,0.022039999999999994,0.006145245678119341,0.3259328584943432,0.01517143921604849,0.4,0.1632993161855452,0.6,0.1632993161855452,189.4,6.0151660178437485,0.19744150169955418,0.009646767736669474,0.3077886292941271,0.01675148524596429,0.533563768863678,0.022758115002857203
MaxLoss,0.1,0.0,50,10,50.0,0.0,54.0,0.0,363.3,49.51185043333902,417.3,49.51185043333902,0.16080699852318503,0.017652301361266363,0.09728,0.012670892277622406,0.09297017100034281,0.01039056706395438,0.0,0.0,0.0,0.0,51.0,0.0,0.24814814814814815,0.03186046395200973,0.2777777777777778,0.04408289153421512,0.7803906857967376,0.026778798970620115
MaxLoss,0.2,0.0,100,10,100.0,0.0,104.0,0.0,400.8,43.92918543899184,504.8,43.92918543899184,0.1920059732394293,0.015540415734345654,0.10716,0.012521973575368304,0.2662008374929428,0.00243810361590387,0.0,0.0,0.0,0.0,101.0,0.0,0.2625,0.016657418538700366,0.3451923076923077,0.019040188128563007,0.7331794202327728,0.02557102479341739
MaxLoss,0.2,0.0,200,10,200.0,0.0,204.0,0.0,185.5,26.07180256309273,389.5,26.07180256309273,0.15121774402214214,0.009331016313300286,0.06017,0.008348120879708333,0.4366022000089288,0.0088173908081916,0.0,0.0,1.0,0.0,201.0,0.0,0.2553921568627451,0.010524956153717594,0.37058823529411766,0.012340658554574642,0.4993065565824509,0.02687116219154578
MaxLoss,0.2,0.0,50,10,50.0,0.0,54.0,0.0,525.2,51.317270214053885,579.2,51.317270214053885,0.21816353011527098,0.017924386909744933,0.13856,0.01661466688066768,0.15589360829326324,0.006316552138018315,0.0,0.0,0.0,0.0,51.0,0.0,0.2611111111111111,0.030547760571996596,0.29814814814814816,0.019801253002895605,0.7560794115066528,0.025515396073356733
MaxLoss,0.3,0.0,100,10,100.0,0.0,104.0,0.0,491.0,27.267400153133615,595.0,27.267400153133615,0.22393063064664603,0.009549461200410852,0.12319,0.007595487695555392,0.26470030430355107,0.002501940234701926,0.0,0.0,0.0,0.0,101.0,0.0,0.31538461538461543,0.015019710915205106,0.3961538461538462,0.02046267910193893,0.7467994749546051,0.016120519307628017
MaxLoss,0.3,0.0,200,10,200.0,0.0,204.0,0.0,237.0,28.88136654199959,441.0,28.88136654199959,0.16956913960166276,0.010247764166980596,0.06569,0.008681326703524834,0.42658471259637737,0.002485067575998276,0.0,0.0,1.0,0.0,201.0,0.0,0.29117647058823526,0.008077913133534821,0.39509803921568626,0.013238319673548427,0.48970029056072234,0.025694124724084364
