method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
MaxLoss,0.0,0.0,0,10,4.0,0.0,701.4,110.85598264815881,705.4,110.85598264815881,0.261341939115664,0.03820204060733712,0.20927,0.04242289751223191,0.0739259709022008,0.06158640088312412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.049999999999999996,0.5595517098903656,0.040638132262339095
MaxLoss,0.0,0.0,10,10,14.0,0.0,260.8,31.886534949898692,274.8,31.886534949898692,0.10968926748610101,0.01159567711283324,0.07092999999999998,0.006668450594653407,0.11844219591002911,0.058862235139182165,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0857142857142857,0.020756661635907968,0.6840691685676574,0.017593494588802456
MaxLoss,0.0,0.0,100,7,104.0,0.0,15.571428571428571,3.3654911398256417,119.57142857142857,3.3654911398256417,0.05233623505669779,0.0012855937097656807,0.022714285714285718,0.0014983210558470338,0.31397915499318124,0.0055816949238645394,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.14835164835164832,0.03032366426703012,0.8496144073350089,0.010671378426365046
MaxLoss,0.0,0.0,105,7,109.0,0.0,40.714285714285715,8.849843382295331,149.71428571428572,8.849843382295331,0.06375126911526811,0.003323577607107143,0.02412857142857142,0.0021836747409240374,0.32325442257570103,0.00570793415972617,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.14809960681520315,0.02897222303466886,0.8628136345318386,0.013727680274466027
MaxLoss,0.0,0.0,108,2,112.0,0.0,0.0,0.0,112.0,0.0,0.04944029700709507,0.0,0.02024999999999999,0.0006500000000000394,0.3187581039965153,0.002410936984233558,1.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.10714285714285714,0.04464285714285713,0.870275616645813,0.00118333101272583
MaxLoss,0.0,0.0,110,5,114.0,0.0,9.2,3.337663853655727,123.2,3.337663853655727,0.05372573563363403,0.0012730285056105758,0.02090000000000001,0.0021196697856034007,0.33668051700806245,0.007236556350911328,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.17192982456140352,0.03392820983476091,0.8361069560050964,0.0122768509671125
MaxLoss,0.0,0.0,114,1,118.0,0.0,0.0,0.0,118.0,0.0,0.05174200655892491,0.0,0.018900000000000028,0.0,0.356267667026259,0.0,1.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.17796610169491525,0.0,0.81413334608078,0.0
MaxLoss,0.0,0.0,115,4,119.0,0.0,14.25,5.344389581607987,133.25,5.344389581607987,0.05754939634061884,0.002029080663079305,0.020125000000000004,0.0021772976369803,0.3430365314852679,0.008684859245652652,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.1722689075630252,0.04066451299988229,0.8634635806083679,0.013139850681123059
MaxLoss,0.0,0.0,116,1,120.0,0.0,0.0,0.0,120.0,0.0,0.05250743729993701,0.0,0.01529999999999998,0.0,0.36881883401656523,0.0,1.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.8049110770225525,0.0
MaxLoss,0.0,0.0,119,1,123.0,0.0,0.0,0.0,123.0,0.0,0.053653962444514036,0.0,0.015100000000000002,0.0,0.355179833015427,0.0,1.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.22764227642276422,0.0,0.8646236658096313,0.0
