method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,3000,0,69,0,69,0.03264173452043906,0.011499999999999955,,,,,16.068990965373814,1,66,0.0,0.028985507246376812,0.8255128264427185
PU-C,synthetic_redundancy_hard,0,0.0,0.0,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,,,,,0.3510589152574539,1,109,0.0,0.026785714285714284,0.8402698040008545
PU-F,synthetic_redundancy_hard,0,0.0,0.0,3000,0,100,0,100,0.044810371415223926,0.014900000000000024,,,,,0.5291008641943336,1,97,0.0,0.03,0.8641475439071655
PU-G,synthetic_redundancy_hard,0,0.0,0.0,3000,0,137,0,137,0.05898043076740578,0.0047000000000000375,,,,,0.6136330608278513,1,134,0.0,0.058394160583941604,0.6876720190048218
GREATS,synthetic_redundancy_hard,0,0.0,0.0,3000,0,123,0,123,,0.00539999999999996,,,,,0.4213746599853039,1,120,0.0,0.14634146341463414,0.6659104824066162
MaxLoss,synthetic_redundancy_hard,0,0.0,0.1,2700,300,31,0,31,0.01889930118340999,0.006299999999999972,,,,,0.13067045249044895,1,28,0.0,0.0,0.8899363279342651
PU-C,synthetic_redundancy_hard,0,0.0,0.1,2700,300,31,0,31,0.01889930118340999,0.007099999999999995,,,,,0.150688455440104,1,28,0.0,0.03225806451612903,0.8989354372024536
PU-F,synthetic_redundancy_hard,0,0.0,0.1,2700,300,58,0,58,0.031346929899882525,0.009000000000000008,,,,,0.25474467873573303,1,55,0.0,0.0,0.8752111196517944
PU-G,synthetic_redundancy_hard,0,0.0,0.1,2700,300,64,0,64,0.03402997547527775,0.007499999999999951,,,,,0.28157030791044235,1,61,0.0,0.015625,0.9076569676399231
GREATS,synthetic_redundancy_hard,0,0.0,0.1,2700,300,49,0,49,,0.007499999999999951,,,,,0.224261824041605,1,46,0.0,0.061224489795918366,0.8831731081008911
MaxLoss,synthetic_redundancy_hard,0,0.0,0.2,2400,600,29,0,29,0.02017558040097356,0.0039000000000000146,,,,,0.16964334063231945,1,26,0.0,0.034482758620689655,0.880128026008606
PU-C,synthetic_redundancy_hard,0,0.0,0.2,2400,600,44,0,44,0.02809283317765221,0.00770000000000004,,,,,0.23300366569310427,1,41,0.0,0.022727272727272728,0.8981609344482422
PU-F,synthetic_redundancy_hard,0,0.0,0.2,2400,600,30,0,30,0.020714754646178335,0.0048000000000000265,,,,,0.2096544886007905,1,27,0.0,0.03333333333333333,0.8695427775382996
PU-G,synthetic_redundancy_hard,0,0.0,0.2,2400,600,40,0,40,0.026012764254119247,0.006299999999999972,,,,,0.23938743770122528,1,37,0.0,0.025,0.8736317157745361
GREATS,synthetic_redundancy_hard,0,0.0,0.2,2400,600,35,0,35,,0.00649999999999995,,,,,0.22137294709682465,1,32,0.0,0.08571428571428572,0.8658254146575928
MaxLoss,synthetic_redundancy_hard,0,0.0,0.3,2100,900,33,0,33,0.025494333414826542,0.006900000000000017,,,,,0.24321486800909042,1,30,0.0,0.0,0.7778522372245789
PU-C,synthetic_redundancy_hard,0,0.0,0.3,2100,900,36,0,36,0.027310927340295166,0.006000000000000005,,,,,0.27645287849009037,1,33,0.0,0.0,0.845105767250061
PU-F,synthetic_redundancy_hard,0,0.0,0.3,2100,900,37,0,37,0.027912940189708024,0.005700000000000038,,,,,0.2882054476067424,1,34,0.0,0.0,0.8137718439102173
