method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,20,74,0.03462917119031772,0.011199999999999988,,,,,0.9157596250297502,0,0,51,0.0,0.037037037037037035,0.8361444473266602
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,100,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,,,,,0.9447950420435518,1,0,66,0.0,0.028985507246376812,0.821907639503479
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,200,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,,,,,0.947778667032253,1,0,66,0.0,0.028985507246376812,0.821907639503479
PU-C,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,100,154,0.06540102750295773,0.04490000000000005,,,,,0.11342079198220745,0,0,51,0.0,0.0,0.85820472240448
PU-C,synthetic_redundancy_hard,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.02070000000000005,,,,,0.22403612500056624,0,0,101,0.0,0.028846153846153848,0.8476250767707825
PU-C,synthetic_redundancy_hard,0,0.0,0.0,200,108,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,,,,,0.32874891703249887,1,0,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,33,87,0.03974871715763584,0.024399999999999977,,,,,0.3782754999701865,0,0,51,0.0,0.0,0.8562577366828918
PU-F,synthetic_redundancy_hard,0,0.0,0.0,100,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,,,,,0.6589114579837769,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-F,synthetic_redundancy_hard,0,0.0,0.0,200,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,,,,,0.6703611669945531,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,84,138,0.059359475679229945,0.03420000000000001,,,,,0.22883724997518584,0,0,51,0.0,0.037037037037037035,0.7719088196754456
PU-G,synthetic_redundancy_hard,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.016100000000000003,,,,,0.47488637501373887,0,0,101,0.0,0.07692307692307693,0.7522822618484497
PU-G,synthetic_redundancy_hard,0,0.0,0.0,200,124,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,,,,,0.5536024590255693,1,0,125,0.0,0.0703125,0.7428838610649109
GREATS,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,176,230,,0.038900000000000046,,,,,0.5057425419799984,0,0,51,0.0,0.12962962962962962,0.7036978006362915
GREATS,synthetic_redundancy_hard,0,0.0,0.0,100,100,3000,0,104,82,186,,0.023299999999999987,,,,,0.6769089169683866,0,0,101,0.0,0.14423076923076922,0.6857962012290955
GREATS,synthetic_redundancy_hard,0,0.0,0.0,200,121,3000,0,125,0,125,,0.0043999999999999595,,,,,0.7280338749988005,1,0,122,0.0,0.152,0.6658801436424255
MaxLoss,synthetic_redundancy_hard,0,0.0,0.1,50,45,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,,,,,0.11431420902954414,1,0,46,0.0,0.0,0.9060881733894348
MaxLoss,synthetic_redundancy_hard,0,0.0,0.1,100,45,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,,,,,0.11725170904537663,1,0,46,0.0,0.0,0.9060881733894348
MaxLoss,synthetic_redundancy_hard,0,0.0,0.1,200,45,2700,300,49,0,49,0.027275555534288287,0.009800000000000031,,,,,0.12087383400648832,1,0,46,0.0,0.0,0.9060881733894348
PU-C,synthetic_redundancy_hard,0,0.0,0.1,50,25,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,,,,,0.10463479202007875,1,0,26,0.0,0.034482758620689655,0.8954413533210754
PU-C,synthetic_redundancy_hard,0,0.0,0.1,100,25,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,,,,,0.10874937503831461,1,0,26,0.0,0.034482758620689655,0.8954413533210754
PU-C,synthetic_redundancy_hard,0,0.0,0.1,200,25,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,,,,,0.11300712503725663,1,0,26,0.0,0.034482758620689655,0.8954413533210754
PU-F,synthetic_redundancy_hard,0,0.0,0.1,50,43,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,,,,,0.16566679195966572,1,0,44,0.0,0.0,0.886849045753479
PU-F,synthetic_redundancy_hard,0,0.0,0.1,100,43,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,,,,,0.1686712090158835,1,0,44,0.0,0.0,0.886849045753479
