method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,0,3000,0,4,670,674,0.25161421595839784,0.1916,,,,,0.6695611249888316,0,0,1,0.0,0.0,0.6473278403282166
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,5,3000,0,9,410,419,0.1618862779578194,0.09640000000000004,,,,,0.6827750829979777,0,0,6,0.0,0.0,0.6827108860015869
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,10,3000,0,14,188,202,0.08330802217824385,0.05179999999999996,,,,,0.694818457996007,0,0,11,0.0,0.0,0.7581161856651306
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,15,3000,0,19,211,230,0.09363425482297316,0.05120000000000002,,,,,0.7065219579963014,0,0,16,0.0,0.0,0.8413717746734619
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,20,3000,0,24,88,112,0.04944029700709507,0.02210000000000001,,,,,0.7184579579625279,0,0,21,0.0,0.0,0.8414353132247925
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,25,3000,0,29,161,190,0.07885782525409013,0.04359999999999997,,,,,0.7301139580085874,0,0,26,0.0,0.0,0.8787389397621155
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,30,3000,0,34,62,96,0.04325841483660042,0.017100000000000004,,,,,0.7416796669713221,0,0,31,0.0,0.029411764705882353,0.871523380279541
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,35,3000,0,39,94,133,0.05746242729946971,0.031000000000000028,,,,,0.7529190420173109,0,0,36,0.0,0.02564102564102564,0.8754370212554932
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,40,3000,0,44,39,83,0.038180221570655704,0.012800000000000034,,,,,0.7642602080013603,0,0,41,0.0,0.022727272727272728,0.8486718535423279
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,45,3000,0,49,31,80,0.03700005082646385,0.019299999999999984,,,,,0.775702791986987,0,0,46,0.0,0.04081632653061224,0.8518872261047363
